Symbol,Security,Dictionary_Entry,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded
GE,General Electric,"'General Electric': 'GE',",Industrials,Industrial Conglomerates,"Boston, Massachusetts",,1892
GILD,Gilead Sciences,"'Gilead Sciences': 'GILD',",Health Care,Biotechnology,"Foster City, California",7/1/2004,1987
GIS,General Mills,"'General Mills': 'GIS',",Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,1856
GL,Globe Life Inc.,"'Globe Life Inc.': 'GL',",Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,1900
GLW,Corning Inc.,"'Corning Inc.': 'GLW',",Information Technology,Electronic Components,"Corning, New York",,1851
GM,General Motors,"'General Motors': 'GM',",Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1908
GNRC,Generac Holdings,"'Generac Holdings': 'GNRC',",Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/2021,1959
GOOG,Alphabet Inc. (Class C),"'Alphabet Inc. (Class C)': 'GOOG',",Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1998
GOOGL,Alphabet Inc. (Class A),"'Alphabet Inc. (Class A)': 'GOOGL',",Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1998
GPC,Genuine Parts,"'Genuine Parts': 'GPC',",Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,1925
GPN,Global Payments Inc.,"'Global Payments Inc.': 'GPN',",Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,2000
GPS,Gap Inc.,"'Gap Inc.': 'GPS',",Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,1969
